,GID_0,NAME_0,NAME_1,LANDLESS,A0.1,A1.2,A2.5,A5.10,A10.20,A20.,A0.2,A0.5,A0.10,A0.20,N0.1,N1.2,N2.5,N5.10,N10.20,N20.,N0.2,N0.5,N0.10,N0.20,PA0.1,PA1.2,PA2.5,PA5.10,PA10.20,PA20.,PA0.2,PA0.5,PA0.10,PA0.20,PN0.1,PN1.2,PN2.5,PN5.10,PN10.20,PN20.,PN0.2,PN0.5,PN0.10,PN0.20
379,NER,Niger,Agadez,1302,1616.0635,1517.5438,2927.5389,12435.0512,5119.7234,183665.2125,3133.6073,6061.1462,18496.1974,23615.9208,3956,1161,886,1496,374,1422,5117,6003,7499,7873,0.007796481,0.007321186,0.014123518,0.059991235,0.024699418,0.886068161,0.015117668,0.029241186,0.089232421,0.113931839,0.373313202,0.109559309,0.083608568,0.14117203,0.035293007,0.134188921,0.482872511,0.56648108,0.707653109,0.742946117
380,NER,Niger,Diffa,4710,3539.5214,12994.8724,81344.8452,93470.0857,108254.8122,988067.909,16534.3938,97879.239,191349.3247,299604.1369,4268,7198,22489,13593,7712,5067,11466,33955,47548,55260,0.002748776,0.010091756,0.063172021,0.072588425,0.084070173,0.767328849,0.012840532,0.076012553,0.148600977,0.232671151,0.065624183,0.110675462,0.345787782,0.209004105,0.118578655,0.077909498,0.176299645,0.522087427,0.731091533,0.849670188
381,NER,Niger,Dosso,1802,7988.5038,38963.4533,241591.8805,788103.3159,833767.1484,887431.1856,46951.9571,288543.8376,1076647.154,1910414.302,15686,22621,69395,107341,57624,12699,38307,107702,215043,272667,0.002855234,0.013926235,0.086349258,0.281682216,0.298003286,0.317183772,0.016781469,0.103130726,0.384812942,0.682816228,0.054623078,0.078772704,0.24165297,0.373791648,0.200663027,0.044221501,0.133395782,0.375048752,0.7488404,0.949503427
382,NER,Niger,Maradi,2182,3844.6772,29941.8089,308117.2709,720749.7565,1577210.643,7891217.779,33786.4861,341903.757,1062653.514,2639864.156,7382,18335,82229,90229,111184,109069,25717,107946,198175,309359,0.000365079,0.002843184,0.029257893,0.068440238,0.149767199,0.749326406,0.003208264,0.032466157,0.100906395,0.250673594,0.0175507,0.043591451,0.195499394,0.214519389,0.264339887,0.259311476,0.061142151,0.256641544,0.471160933,0.73550082
383,NER,Niger,Niamey,3899,2276.6879,2178.25,8056.71638,9100.35,11101,230839.2972,4454.9379,12511.65428,21612.00428,32713.00428,6075,1221,2283,1269,687,1512,7296,9579,10848,11535,0.008638467,0.008264963,0.030569706,0.034529579,0.042120672,0.875876613,0.01690343,0.047473136,0.082002715,0.124123387,0.358491679,0.072052402,0.134722058,0.074884929,0.040540541,0.089224596,0.430544081,0.56526614,0.640151068,0.680691609
384,NER,Niger,Tahoua,0,19678.2577,62228.5743,360873.5235,722834.3627,1268649.463,3896348.262,81906.832,442780.3555,1165614.718,2434264.181,28575,35707,104975,95698,89342,48190,64282,169257,264955,354297,0.003108429,0.009829787,0.05700452,0.114180795,0.200399167,0.615477301,0.012938216,0.069942736,0.184123531,0.384522699,0.070996082,0.088715909,0.260815877,0.237766686,0.221974871,0.119730575,0.159711991,0.420527868,0.658294554,0.880269425
385,NER,Niger,Tillabéry,0,8727.27,36010.69,277760.221,768744.3356,901393.8036,2998584.942,44737.96,322498.181,1091242.517,1992636.32,19001,20615,80062,102184,64817,45659,39616,119678,221862,286679,0.001748524,0.007214805,0.055649751,0.154019286,0.180595841,0.600771792,0.008963329,0.06461308,0.218632367,0.399228208,0.057173721,0.062030222,0.240905343,0.307470106,0.19503337,0.137387238,0.119203943,0.360109286,0.667579392,0.862612762
386,NER,Niger,Zinder,8547,8427.889,15607.6395,275492.5248,649414.6175,1767724.811,5095413.683,24035.5285,299528.0533,948942.6708,2716667.482,16571,9423,78618,88876,122161,86705,25994,104612,193488,315649,0.001078828,0.001997885,0.035264934,0.083129528,0.226280907,0.652247919,0.003076713,0.038341646,0.121471174,0.347752081,0.040328449,0.022932531,0.191330759,0.216295409,0.297300323,0.211011898,0.06326098,0.254591739,0.470887148,0.768187471
387,NGA,Nigeria,North Central,131961.943,560357.7574,978420.372,1141453.298,184820.8492,215216.6602,NA,1538778.129,2680231.427,2865052.277,3080268.937,1166575.047,689338.654,384992.3972,28044.8845,18871.7915,NA,1855913.701,2240906.099,2268950.983,2287822.775,0.181918452,0.317641216,0.370569363,0.06000153,0.069869438,0,0.499559669,0.870129032,0.930130562,1,0.482098692,0.284876026,0.159101921,0.011589826,0.007798955,0,0.766974718,0.926076639,0.937666465,0.94546542
388,NGA,Nigeria,North East,239792.3554,517983.6525,1019849.722,1382627.803,533794.1513,139851.453,NA,1537833.374,2920461.177,3454255.328,3594106.781,818676.1087,707832.7154,477432.3663,79019.2528,11563.5395,NA,1526508.824,2003941.19,2082960.443,2094523.983,0.144120274,0.2837561,0.384693023,0.14851928,0.038911324,0,0.427876373,0.812569396,0.961088676,1,0.350713438,0.303229131,0.204527706,0.033851133,0.004953716,0,0.653942569,0.858470276,0.892321409,0.897275124
